username,rating,comment
o*****t,4,
yudianatha,4,
fikwibu,4,
z*****k,4,
d*****i,5,
nelakale,5,
natasyatuasikal18,5,
albertayudithia,5,
y*****i,5,
tettasyauta,5,
aulia.novie2012,5,
damemeryapul,5,
a*****0,5,
l*****s,5,
meylinadepari,5,
dewisitoruss,4,
mi_moo,5,
a*****i,5,
laksmiiwanintyasr,5,
a*****a,5,
e*****7,5,
nunurizal,5,
anie_yuliana,5,
n*****0,5,
d*****9,5,
rikariskiarr31,5,
d*****3,5,
vowzee,5,
putri_indrasuari,5,
diee_nha,5,
siskadwi11,5,
daninugraha7,5,
masayuawukhapsari,5,
i*****n,5,
marwijshop,5,
p*****a,5,
j*****i,5,
herbalsehas,5,
putrimari4wan,5,
i*****a,5,
mutiapatimaharani10,5,
